text,English,label
"bari aaway hayqqidobadan qoppiis, shin hegee iita aymo.",He thought his father,positive
Asttamaarekiyanaassa.,My lifelong wish was to be a famous teacher.,positive
quccanawu azaziis.,The teacher ordered me to clean the blackboard.,negative
gadaaway xaafiya mule dabidaabiya eessuwan xaafanaadan azazziis.,The principal,positive
azaziis.,The doctor prescribed this medicine.,positive
"saaminttan hayqqiis, hegaa gishshawu A ubbatoo azzanawusu.",Her husband died,negative
gishshaw azzanays.,I regret saying terrible things to you.,negative
moori simmid azzaniis.,The boy repented after he made a lot of mistakes.%(syn),negative
ba'iyogee daafurssiya ooso.,Carrying small children on the back is tiresome,negative
"work.%● Ha ba""oy mishireessi tookkanaw keehi deexo.",This backpack is too heavy,negative
guuttaa shemppa ekka.,Put down the load and have a little rest.,negative
baadiya%1. noun%► soldier; army%● Baadee nu biittaa naagees.,Soldiers guard,positive
our country.%● Baadeti morkkiya citaa biittaappe kessidosona.,The army broke,positive
hayqqidosona.,"During Derg regime, a lot of Ethiopian soldiers were killed in",negative
Yuniversttee hosppitaaliyappe haddirssa baggaara dees.,The university is on,positive
the left side of the hospital.,Kaamee ogiyappe haddirssa baggaara laagettees.,negative
failure; shortcoming; guilt%● Eranchcha uray ba balaa ammanees.,A wise person,positive
"eriyobaa ha""i hassaya xayiyogaa woykko dogaa.",Forgetfulness is being unable to,negative
the past.%● Ne balaa kammanaw maloppa; ammanna.,Don't try to hide your,negative
Hegee na'ay baqettees. Akko shiiqoppa.,That boy is mad. Do not go near him.%,negative
be slapped%● Dirbbaa giddo gelidi baqettiis.,He was slapped entering into the,negative
bayzziis.,The man took the sheep to the market and sold it for an expensive,negative
price.%● Ta ha booraa bayzzada haraa shammanaassi koyaas.,I wanted to sell,negative
gidiyagaa cimmaasu.,His wife has deceived him for years.,negative
ubbaappe bollaara beettiis.,The tall person was seen above all the people in,positive
the market.%● Masttootiyara aybakko beettees. Ane xeella.,Something is seen,positive
harggee Toophphiyan 1979 M.Ln. beettiis.,HIV/AIDS appeared in Ethiopia in 1979,negative
and leave it flattened%● Nu heeray gottiyan beletiis.,The village had been,negative
(the sack in order to hold well)%● Otoy ubba donuwa ekkana xayikko bela.,Press,positive
Kaysuwa bolli asi ubbi biradhdhiis.,Everybody pointed out the thief.,positive
"bolli kushiya coo biradhdhikko, pokkees.",It is taboo to point at people.,negative
Eedisee oyqqido uraa asay biradhdhees.,People point at people who have AIDS.%,negative
Ishi michcha yelettibeenna asi bizza geettees.,An only child is a person who,positive
baawa.,She is the only child; she has no brother or sister.,negative
asttamaariyassi bizza zaaruwa immaws.,She gives to the teacher outstanding,positive
goommaa mooriis.,The rough road damaged our tires.,negative
gommaara biyabatussi giigenna.,The rough street is not suitable for vehicles.,negative
%● Taani deriya huuphiya borchchiborchcha deriya ogiyan yuuyayda pe'as.,I have,positive
yohuwa wudidi xeellibeenna gishshawu borettiis.,The department has been,positive
nagaraa woqqasees.,The Bible completely reproaches sin.%(syn) [hooshiis.],negative
asati mittaa buttidosona.,The highway workers hacked the trees.,negative
large number of people)%● Olay daro asaa buttiis.,The war killed a large,negative
(dough) %● Oyssay caaliis.,The butter soured.,negative
meecettiyosaa miyyiyan haattaa cacafaasu.,She splashed water over the side of,negative
the bath. %● Gondduwa xalee kattaa bolli caccafettanaw bessees.,Pesticides,negative
caccafaasu.,The girl sprinkled the water on the floor to let the dust settle,negative
laagganaagee meto.,It is difficult to drive on the marshy land.,negative
biittaa,marshy land,negative
sa'ay care.,"Since he is a rich man, he leads a comfortable life.",positive
ciimma%1. adjective%► deep %● Ciimma shaafay cora moliyara de'ees.,The deep,positive
worqqaa immiis.,The deep gold mine yielded a lot of gold.,positive
gasttiyo wode nuuyyoo ciimma qofay de'ees.,"As we mature, we have profound",positive
kattaa zerees.,A clever farmer sows a lot of grain in his farm.,positive
kiisiyappe daro miishshaa bogidosona.,The bandits stole a large amount of,negative
xaafettiis.,Innumerable books have been written in the last ten years. %(syn),negative
curqqaa%1. noun%► rag %● Curqqay pooshettida ceega maayo.,A rag is a piece of,negative
old cloth. %● Mishiriya maskkootiya curqqan quccaasu.,The woman cleaned the,positive
yeellayees.,I feel embarrassed wearing these old clothes in front of people.,negative
naa''ubaa issippe gattidi danttiis.,The worker connected two things together.,positive
%► write poem %● Danttuwa xaafiya asay danttoosona.,Poets write poems.,positive
Tekinooloojiya xeelliyagan danttiis.,He wrote poem on technology.,positive
dogaychchadii?,Have you forgotten what I told you yesterday?,negative
aadhdhidoogaa dogaas.,I forgot the bus pass at home.,negative
dogaasu.,She missed the road sign and lost her way.%(syn) [baliis.],negative
oyshettanawu daasa era.,You will be punished for this rude deed.,negative
dolliwaaqa maccaassiya de'awsu. Hegee iita eeshsha.,He has a rude wife. It is,negative
kessees.,"Because the boy is rude, he puts out his tongue at people.%(syn)",negative
oosuwa doommi aggiis.,He began the work after a little rest.,negative
maallado doommana koshshees.,We must begin our work in the morning.,positive
Timirttee 2 saatiyan doommidi laaxa saatee gakkanaashiina.,The lessons start,positive
doonaa%1. noun%► mouth%● Doonaa hangga.,Open your mouth.,positive
Wolayttattuwa,Wolaita language,negative
yelido naa''u naatussi darotoo dumma meray de'ees.,Two children born from one,positive
mother often have different appearances.%● I oosuwa dumma ogiyan oottiis.,He,positive
eeshshaa bessiyogaa doommaasu.,She started to show deviant behavior after she,negative
kuttan shammanaw danddayees.,He is a prosperous man; he can afford many things,positive
eceriya%1. noun%► rat %● Garawiya eceriya oykkaasu.,The cat caught the rat.,positive
Eceree waassiis.,The rat squeaked.,negative
karttaa kaassan oyddu eceriya mizaas.,I scored four points against him while,positive
Tamaaresoossi nuussi sa'ay poo'ees.,Hurry up! We are late for school.,negative
Eesota ixxikko otobisiyappe attaasa.,Hurry up or you will miss the bus.,negative
oosuwa wurssanaayyoo I eesotiis.,He was in rush to finish the assignment. %,negative
darkko kattati mokkiyosaa.,A back yard is an area behind a house in which some,negative
vegetables are grown. %● Kayssoti karee dooyettin emere woxxidosona.,The,positive
"shaahettikko, geniya eqettanawu danddayeketta.","If you are divided, you can't",negative
stand against the enemy. %● Nuuni Eedisiya eqettanaw koshshees.,We should,positive
koshshees/eqettanaagee attennabaa.,We must defend our rights.,positive
minttiyogee go''ees.,It is important to believe in things and take stand.,positive
Geellatoppa.,Improve your posture. Don't slouch.,positive
balaa ammanees.,A wise person acknowledges his mistake.,positive
meezeenne eray de'ees.,A competent person has skills and qualifications.,positive
Eranchcha dottoree ta aayee qooriyan de'iya xii'iya kessiis.,A competent,positive
lo''o.,The mill is good for the maize grind.,positive
ooso.,Grinding maize was women's work.,negative
gaacettennan ixxiyo metoy hara sahuwayyoo malaata gidanaw danddayees.,Problems,negative
catch%● Kaysuwa gaddabbi oottidi oyqqiis.,He grabbed the thief forcibly.,negative
Gooba bitanee kaysuwa gaddabi oottiis.,The brave man seized the thief.,positive
kuwaasiya olin na'ay gaddabbi oottiis.,The father threw the ball and the child,negative
material by microorganisms%● Gassammay biittaa araddissanaw lo''o.,Humus is,negative
shooqan gassammaa yeggiis.,The farmer put manure on his farmland in order to,negative
grow vegetables.%● Hayqqida dozati gassammaa darssoosona.,Dead plants build up,negative
danddee?,"Please, do you have pure water to drink?%(syn) [walalla, xillo,",negative
geeshsha soho.,A church is a holy place.,positive
geniya teqqanaadan kiittiis.,The captain ordered his men to defend the enemy.,positive
%● Genee keettan tamaa yeddiis.,A vandal set fire to the hut.,negative
giiyyees.,Some wounds give out pus.%(syn) [xuuqqiis]%2. transitive verb,negative
"conceit, be proud, have pride%● I otoruwa giiyees.",He is conceited.,negative
ooratta maxaafata wontto saaminttan gishees.,The ministry will distribute the,positive
gishiis.,The teacher distributed the books to each of the students.,positive
tamaare naatussi paaciya woraqataa gishshiis.,The monitor distributed the exam,negative
"morkketetti de'enna mala koyido gishshawu, A tana maarotettaa oychchaasu.",She,positive
"sakkido gishshaw, tamaare keettaa yabeykke.",I did not come to school because I,negative
was sick.%► sake%● Ne so asaa gishshaw loytta ootta.,Work hard for the sake of,negative
gitatettay Toophphiyan ubbasan erettiis.,King Tona's fame spread far and wide,positive
in Ethiopia.%► respect%● Deriyan sabetiyogaa mala gitatetti baawa.,It is the,positive
valorous; audacious%● Gooba tamaaree paaciyan metoy baynnan aadhdhees.,A,positive
eqqettiya yameti gooba polotikaa eranchchaa woranaw malidosona.,Some members,positive
asttamaariya oyshshaa zaaranaassi kushiya denttiis.,A clever student usually,positive
guyekko goochchiis.,He jerked her back from in front of the speeding car.,negative
Danggarssay qanxxettida mittaa goochchiis.,The elephant pulled the logs.%(syn),negative
"example, as a lion makes%● Aadhdhida omarssi, gaammoy bazzuwan gudiis.",Last,positive
wodiyan gudees.,"Since there are abdominal parasites in his stomach, the boy",negative
"kasetada gum""a.",Wring the clothes before you hang them on the tree.,negative
"Oosanchchiya ispponjjiya meecca simmada, haattaa xi'issanaassi gum''aasu.",The,positive
Meecettida maayuwa gum''ada micca.,Squeeze the washed clothes and stretch them,negative
mehe goda.,"My father, who bred a lot of cattle, is a rancher.",positive
%● I daro miizzaa haariis.,He bought many cows.,positive
"naaqqido gishshawu, hanqquwan kumi uttiis.",He was filled with anger because,negative
his boss treated him badly.%● Xoossaa hanqquwa,God's wrath,negative
soodoomeninne Gamooran ba hanqquwa gussiis.,God poured out his wrath on Sodom,negative
sufferance; pain%● Eedisee xalee baynna hargge.,AIDS is an incurable disease.,negative
%● Carkkuwappe oyqqiya harggee laa'ees.,Airborne illnesses are infectious.,negative
hayttaa%1. noun%► ear%● Nuuni nu hayttan siyoos.,We hear with our ears.,positive
issibaa taassi hayttan saasukkaasu.,She mumbled something into my ear.,negative
%● Mittaa hayttay bone carkkoy carkkiyode qoqofettees.,The leaves of trees,positive
lo''o maatay diyosaa efiidi heemmiis.,He looked after the cattle in a good,positive
dembban dorssaa heemmawusu.,The woman always shepherds the sheep.,positive
environment%● Heeraa asay issoy issuwara maaddettidi di'uwa zaaridosona.,The,positive
people')%● Heeran kilinikee baawa.,There is no clinic in the vicinity.,negative
Injjetiya heeran oottidoogee loytta oottanaadan O minttettiis.,Working in,positive
"Do'ay yedetti simmido kanay hel""iiddi dees.",The dog was panting after it had,negative
been chased by the wild animal.%● Asay woxxi simmidi hel''ees.,People pant,positive
after they run.%● Tamaaree sa'aa poo'issidi hel''ees.,The student arrived late,positive
hini baana.,"If she comes here, I will go there.%(syn) [yaa, yaara, hefinttan,",negative
"gede]%2 pronoun%► that %● Ha keettay hini sooppe lo""o.",This house is better,positive
hokkiis.,He slowly crouched down.,negative
wuuqqettida borssaa demmaas.,"When I stooped to pick up the ring, I found my",negative
issippe bibeenna.,Her old dirty shoes did not match her beautiful dress.,negative
xoonnees.,The unity of people will defeat an enemy in the battle.,positive
dichchawu issippetettay go''ees.,Unity is important for the development of our,positive
Taani issitoo issitoo sukkaaree baynna tukkiya uyays.,I sometimes drink coffee,positive
without sugar.%● Issitoo issitoo ta tamaare soo otobisiyan bays.,Occasionally,positive
daro dosays.,Sometimes I like to do research in our language.%(syn),positive
naagaas.,I waited for you at the bus station.,negative
aggidi yiis.,He left his luggage at the bus stand.,negative
qatuwappe tammanne naa''u saate baggan kiyees.,The bus leaves at 12:30 from,negative
hands%● Biittaa akaafan kaashiis.,He dug the soil out with a spade.%(syn),negative
"[mooqiis]%► profit; gain%● Zal""anchchay tukkiya bayzzidi woriya kaashiis.",The,positive
kariis.,He despised himself for being so cowardly.,negative
machchee addiniitaakka karees.,A rude husband neglects his own wife.,negative
kariyogee lo''enna.,It is unwise to ignore someone.%(syn) [xaasayiis],negative
gayttanawu keeriis.,He scheduled to meet the girl in the market.%(syn),negative
keeriis.,He planned to build the house after two weeks.%(syn) [qaniis],negative
keettaa keexxiis.,My father built a large house.,positive
keexxidosona.,Friends of mine are building their own house.,positive
achchan keexxettiis.,"The town is situated near the mountain.%(syn) [gimbbiis,",negative
kichchaychcha.,"Move away from the bus stop.%(syn) [sher''i giis;  xayiis,",negative
hurttu giis]%► die%● I marzziya uyidi kichchiis.,He died after he took the,negative
shiishsha.,Pull the chair towards you.,positive
na'iya meeguwan kokkorawusu.,The little daughter is shaking from the fever.,negative
Worddanchchay yashshan kokkoriiddi gadaawaa sinttan eqqiis.,The liar stood in,negative
sinttan kokkoriilddi eqqiis.,The boy stood trembling in front of his father,negative
wombbaraa kooliis.,He mended a broken chair.,negative
tamaare keettaa koolidosona.,The students from the village repaired the,positive
koottaa%1. noun%► beehive; hive%● Mattay koottan eessees.,Bees make honey in a,positive
Koottay kattaa qolanawu maaddees.,A large bamboo barrel is used for storing,negative
grain.%● Kattay koottan yegettideeyye?,Was the grain put in the big basket?,negative
zawi baawa.,Human wants are unlimited.,positive
tamaare naatussi diya koshshaa eranawu bessees.,The teacher must know the,positive
"la""atetti baawa.",There is no freedom like peace.,negative
oottanaassi la'atettan de'aasa.,You are at liberty to do whatever you want.%,positive
laa'ees.,Malaria spreads in wet and hot places.,negative
mala hayqqida medoossati moogettanawu koshshees.,Dead animals should be buried,negative
issuwara dosettiyagaa.,Friends are those who like each other.,positive
amaridaageeti tana loytta xana'anaadan maaddoosona.,Some friends of mine are,positive
laqilaqiis%1. transitive verb%► be sweet%● sukkaarettoo laqilaqees,as sweet as,positive
sugar%● Sukkaaree laqilaqees.,Sugar is sweet.,positive
adduqiyay ba.,My father and I are of equal height; neither of us is shorter or,positive
"laagga, hayyanaa.","Drive the car slowly, please.",positive
loddaara biis.,The old man went gradually to the window.,negative
loddan laaggees.,"Old men drive cars slowly.%(syn) [loddan, leelan, akeekan]",negative
effiiya loosuwa,a path by the side of a river,positive
giida loosoy de'ees.,"There was a nice, quiet path through the park.",positive
darkkoora aattiya loossuwa,"the path on the backyard%(syn) [urudaa, sutaa]",negative
"dom""ettida kaamiya kooliyo maaray mankkay ay hiillanchchawunne ixxiis.",There,positive
yelidaageetuppe naagettees.,Children are expected to learn discipline from,positive
maarotaa%1. noun%► forgiveness; mercy%● Xoossaa maarotay nu bolla,God's mercy,negative
upon us%► excuse%● Wogaa eriiddi kanttiya asawu maaroti baawa.,One who,positive
gishshawu taani ne balaassi maarotaa immanawu koshshees.,I have to give you an,positive
bonchchettanaw danddayettenna.,Your rights cannot be respected without facing,positive
dichchanawu maatay de'ees.,Parents have a responsibility to bring their,positive
maayuwa%1. noun%► clothes; garment%● Lo''iya maayuwa maayida na'iya oonee?,Who,negative
puulayees.,Fashionable clothes make girls look beautiful.,positive
makiinan sihettees.,Clothes are made on a sewing machine.%(syn) [carqqiya.],negative
qumaa miida.,We ate sweet food today.,positive
tukkiya essaasu.,My mother made very sweet coffee for the guests.,positive
"haasayaadan mal""o","as sweet as his speech%(syn) [luqaaluqo, laqilaqiya.]",positive
ogiya malaataas.,"I showed him the way.%(syn) [bessiis, huruuriis,",positive
malaatiis.,My boss marked that I was absent from the job.,negative
saaminttan iray bukkanaagaa maliis.,The meteorologist predicts that it will,positive
"simmidi, nibaabiya maliis.",He tried to read after learning the alphabet.,negative
"maraa%1. noun%► calf, young of a cow%● Maray hayqqana hanees.",The calf is,positive
ogiya bessuuttee?,"Son, would you show me the way to the church?",negative
Open the window; I feel hot.%● Masttootiyara xeelloppa; pokko.,Don't look,negative
xeella.,Look at the television screen,positive
Baquloy yelenna mayne mehe.,A mule is a sterile animal that does not give,negative
"birth.%● Mayne maccaasiya shahaarabeenna gishshawu, kayyottaasu.",The barren,negative
mara tookkanaw danddayukku.,The barren cow cannot bear a calf.%(syn),negative
meraa%1. noun%► appearance; color%● Geeshsha maayoy meraa loyttees.,Clean,positive
eeshshankka malataws.,"She resembles her sister not only in appearance, but",positive
miizziyo%1. noun%► cow%● Miizziya maaxxawus.,A cow gives us milk.,negative
"Henttanchchay miizziyo mizi simmidi, yeesaamiya shokkiis.",After feeding the,positive
maaxxawsu.,Two families are sharing the responsibilities for milk of one cow.%,positive
milxxi oottidi erees.,He knows completely that she will pass the exam.%(syn),positive
huuphphiya milxxi oottidi meediis.,She shaved the boy's hair completely.%(syn),negative
xaaramusiya tuccaydda minttaasu.,"When she fastened the bottle, she made it",positive
dooruwan tana ubba wode minttidosona.,My parents have always encouraged me in,positive
siiqota gaytotettaa minttidosona.,The divorcing parents maintained an amicable,positive
"miyyiya%1. noun%► side, parallel path, flank%● keettawu ushachcha miyyiya",the,positive
%● Nu heeraa asay darotoo miyyee baynna asaa maaddees.,People in our village,positive
phuuphulliya phuuphulloosona.,"If hens are fed well, they lay more eggs.",negative
kiyiis.,He got out of jail quickly because he bribed the local authorities.,negative
mogoliichchiis.,"My restless so has ruined my cap.%(syn) [donttiis, woriis,",negative
suraggiis]%► defraud; steal%● Looxee tana oyddu xeetu biraa mogoliis.,The,positive
"bukkikko, sharafay eesuwan mokkees.","If rains fall now and then, weeds grow",negative
quickly.%● Badalay irxxa sohuwan mokkenna.,Maize does not grow in cold,positive
climates.%► rise%● Away arggoora mokkees.,The sun rises in the east.,positive
mooruwa oottidosona.,The students made many errors on their exam.,negative
maqqaccettaas shin hegee A mooruwana.,I was punished but it was his fault.%,negative
immorality; debauchery; evil; turpitude; sin%● Wuuqqiyogee nagara.,Stealing is,negative
a sin. %● Asabaa bogiyogee nagara.,It is a sin to commit robbery.,negative
nagarawu pirddettanawu diyogaa ammanees.,He believes that he will be judged,positive
ohettiis%1. transitive verb%► be caught; be arrested%● Kaysoy ohettiis.,The,positive
thief was arrested.%► abut; adjoin%● Ta keettay I keettaara ohetti uttiis.,My,positive
house abuts up to her house.%● I biittay taagaara ohettiis.,Her land abuts,positive
Oosanchchatuuranne qaxaridaageetuura ooshshay de'ees.,There is conflict,negative
between the workers and the employers.%● azinanne machchine ooshshaa,a fracas,negative
between couples%● Nuuni miishshaa gaasuwan ooshshaa kessida.,We had a quarrel,negative
naata paacciis.,"The teacher evaluated the students.%(syn) [pilggiis, yiggiis.]",negative
%► tempt%● Issibay taayyoo Xoossaa ammanuwa paacciiddi dees.,Something is,positive
ubbaykka tammaappe tammaa demmidosona giyogaa mala.,This test was very easy;,negative
paaciyan aadhdhana shin attiis.,"Had he studied hard, he would have passed the",negative
danddayabeykke.,I couldn't resist the temptation to open the letter.,positive
vandal; gang; thief%● Panggay asa miishshaa woykko buquraa boggi ekkiyagaa.,A,positive
panggatuppe gidduwan kaqqettiis.,Jesus Christ was hung between the two,negative
thieves.%● Bombbee panggatu bolli yaara haara xuuqqees.,The bombs were,negative
%● A ba qamisiyan de'iya peerettaa sikkaasu.,She sewed the hole in her dress.%,negative
aybane gidenna.,His pride is not our business.,negative
"pitettibeenna gishshawu, keettay moorettiis.",Since the room hadn't been,negative
keettan diya miishshaa muleera pittaasu.,She stripped the room of all its,negative
"puuraa%1. noun%► swelling%● I xaliya ekkin, puuray wodhdhiis.",He took medicine,positive
tanaara diya puuray miishsha gaaso.,His disappointment with me is due to a,negative
"maallado qan''iya mabeenna gishshawu,tana namisiis.",Because I didn't have my,negative
tamaaresoo baanawu poo'ees.,"Quickly make breakfast, or I will be late for",negative
school.%● Nu qan''iya guuran moos.,"We eat breakfast early.%(syn) [bikkaa,",negative
appointment%● Taani aara wontto gayttanawu qanaas.,I made an appointment to,positive
book%● Paacee wontto saaminttan imettanawu qanettiis.,The exam was already,negative
qashuwa%1. noun%► bundle%● qasho maataa,a bundle of grass%(syn) [xephiya.],negative
prison; imprisonment%● I qashuwappe birshshettiis.,He was released from,negative
qoraphphiis.,The farmer fed his ox well.%(syn) [heemiis.],negative
economize%● Sintta wodiyan go'ettanawu nu miishshaa qoraphphiyogee keha.,We,positive
bira.,Ten ten-cent coins is one birr.,negative
wottiis.,"He deposited a lot of money.%(syn) [miishshaa, gumaa.]",negative
gido.,Peace to you.,positive
saxxiis%1. transitive verb%► bite; nibble%● Qeeri na'iya oyttaa saxxaasu.,The,positive
little girl nibbled a piece of bread.%● A kanan saxxettaasu.,She was bitten by,negative
"the dog.%● Gooyyiya kanay saxxikko, sohuwara xaliya ekkanawu koshshees.",If a,positive
shoohuwa%1. noun%► sheath; scabbard; shell%● I bisaa shoohuwan yeggiis.,He put,positive
Shoohoy shemppuwa xeeraa genttees.,The foreskin covers the end of the penis.,positive
muuziya aattaasu; nu maanawu danddayibookko.,She served very soft bananas; we,positive
feeble%● Ha na'ay timrttiyawu shugo; paaciyan aadhdhanawu danddayenna.,He is a,positive
keettay taagaa.,This house is mine.,positive
are mine.%● Hagee maxaafay neegeeyye taagee?,Is this book yours or mine?%(syn),negative
"taarikiya%1. noun%► history, past events%● Toophiya Taarikiya",Ethiopian,positive
History%● odido taarikiya,oral history,positive
taarike nabbababeykke.,I have never read such a story in my lifetime.,positive
tamaa%1. noun%► fire%● I tama daafan hayqqiis.,He died by fire accident.,negative
tamaa toyssanawu,to extinguish fire,positive
tighten%● A eettiyo mittaa sussan qashuwa tilaasu.,She tightened the firewood,positive
'enset' cord.%► slap strongly%● I na'ay wayssido gishshawu baqaa tiliis.,He,positive
timettiis.,"The meeting ended without an agreement.%(syn) [wurssiis, wocociis.]",negative
asttamaareta bantta yaran timidosona.,The teacher's association included the,positive
tiriya%1. noun%► liver%● Tiree ashodan meetettees.,Liver is eaten like meat.,positive
wottaasu.,The woman put a copper ring on her finger.,positive
maccaaseera giigees.,The copper ring fits the woman.,positive
tumaa%1. noun%► truth; fact; reality%● Worddanchchay tumaa haasayenna.,A liar,negative
does not speak truth.%● Tumaa haasayiyogee bonchchissees.,Speaking truth,positive
brings honor.%● Tumaa haasayiyogee eratetta.,Telling the truth is wise.%(syn),positive
hara bolla kifileta xaaxi waaxiya bolla kifile.,The abdomen is the part of the,positive
yiirata bantta uluwan tookkoosona.,Mothers carry their offspring in their womb,positive
maana ulo xalaaleessi doosona.,People who do not work hard live only for their,positive
waallatawusu.,"This bar lady often prostitutes herself.%(syn) [shaaramuxiis,",negative
disrespectful%● A ba asttamaariya sinttan waallattada haasayaasu.,She was,positive
"waaxiis%1. transitive verb%► yoke, set a trap%● Boorata waaxa.",Yoke the oxen.,negative
%► make%● Karaabiya waaxiis.,He made a drum.,positive
waaxiis.,The carpenter made a new chair.,negative
completely%● Paacee keehi wayssiis. Daro tamaareti kunddidosona.,The exam was,positive
Ta xana'aydadda days.,"Don't disturb me now. I am studying.%(syn) [shabbiriis,",negative
aggenna.,Most students haven't passed the examination; I think it was too,negative
wogetaa%1. noun%► civilization%● beni wode Griike Asaa wogetaa,the,positive
enormous%● Assi cora kifileti de'iyo wogga keettay de'ees.,He had a large,positive
capital (letter)%► main%● Taani isttaadoomiya wogga penggiyara gelaas.,I,positive
pinniiddi daafan geliis.,The unfortunate beggar met with an accident while,negative
crossing the road.%● Woosanchchay curqqaa maayiis.,The beggar wore rags.,negative
"Woosanchchay away xuuggin, mittaa kuwan uttidi shemppees.",The beggar stood,positive
maallado xanna'ays.,I study in the morning before lunch.,negative
aaro xanna'ido gishshawu paaciyan sintta xeera kiyaas.,I studied harder than,negative
xanna'iis.,He studied for the examination.%(syn) [pilggiis.],negative
xaraphpheezaa%1. noun%► table%● xaraphpheezaanne wombbarata,a table and chairs,positive
%● Maxaafata ubbaakka xaraphpheezan wotta.,Put all the books on the table.,negative
Hayyanaa sayniya xaraphpheezaa bolla wotta.,Please put the plates on the,negative
tohuwappe caammaa urqqaa xiiriis.,The man wiped the mud off his shoes.,negative
Caammaa qucciyagee ta caammaappe urqqaa xiiriis.,The cobbler scraped the mud,negative
off my shoes.%► gain; profit%● Hidaariyan tukkiya zal''idi woriya xiiriis.,He,positive
xillo%1. adjective%► clean; neat; pure%● xillo haattaa,clean water%(syn),positive
nashshees.,"Your father is a just man; everybody admires him.%(syn) [likke,",positive
xiskkoy koshshees.,"When you are exhausted, you need a little sleep.",negative
Xiskkuwappe attanawu waanooshsha?,What shall I do to keep from sleeping?,negative
Oosuwa nohayaydda pee'ada xiskkuwa gophphattaas.,"After a hard day's work, I",negative
qammi karen aybakko giiridabaa heeraa asay kare kiyidi xomoosidosona.,People,positive
nu muuzeemiya zino xomoosidosona.,Many foreigners visited our museum,positive
prevail%● Morkkiya tooranchchati xoonettidosona.,The enemy's army was,negative
"defeated.%● Wurssetta kaassan, Kaameeruuni Gibixxe xooni aggiis.",In the final,positive
simmin xooniis.,The old man's opinion prevailed after a long dispute.%(syn),positive
xuntta%1. adjective%► narrow; tight; thin; shrunken%● xuntta ogiya,narrow road,negative
%● Ha caammay taassi keehi xuntta.,This pair of shoes is too tight for me.,negative
