"English","Wolaytta"
"She splashed water over the side of","meecettiyosaa miyyiyan haattaa cacafaasu."
"Pesticides","the bath. %● Gondduwa xalee kattaa bolli caccafettanaw bessees."
"The girl sprinkled the water on the floor to let the dust settle","caccafaasu."
"It is difficult to drive on the marshy land.","laagganaagee meto."
"marshy land","biittaa"
"Since he is a rich man, he leads a comfortable life.","sa'ay care."
"The deep","ciimma%1. adjective%► deep %● Ciimma shaafay cora moliyara de'ees."
"The deep gold mine yielded a lot of gold.","worqqaa immiis."
"As we mature, we have profound","gasttiyo wode nuuyyoo ciimma qofay de'ees."
"A clever farmer sows a lot of grain in his farm.","kattaa zerees."
"The bandits stole a large amount of","kiisiyappe daro miishshaa bogidosona."
"Innumerable books have been written in the last ten years. %(syn)","xaafettiis."
"A rag is a piece of","curqqaa%1. noun%► rag %● Curqqay pooshettida ceega maayo."
"The woman cleaned the","old cloth. %● Mishiriya maskkootiya curqqan quccaasu."
"I feel embarrassed wearing these old clothes in front of people.","yeellayees."
"The worker connected two things together.","naa''ubaa issippe gattidi danttiis."
"Poets write poems.","%► write poem %● Danttuwa xaafiya asay danttoosona."
"He wrote poem on technology.","Tekinooloojiya xeelliyagan danttiis."
"Have you forgotten what I told you yesterday?","dogaychchadii?"
"I forgot the bus pass at home.","aadhdhidoogaa dogaas."
"She missed the road sign and lost her way.%(syn) [baliis.]","dogaasu."
"You will be punished for this rude deed.","oyshettanawu daasa era."
"He has a rude wife. It is","dolliwaaqa maccaassiya de'awsu. Hegee iita eeshsha."
"Because the boy is rude, he puts out his tongue at people.%(syn)","kessees."
"He began the work after a little rest.","oosuwa doommi aggiis."
"We must begin our work in the morning.","maallado doommana koshshees."
"The lessons start","Timirttee 2 saatiyan doommidi laaxa saatee gakkanaashiina."
"Open your mouth.","doonaa%1. noun%► mouth%● Doonaa hangga."
"Wolaita language","Wolayttattuwa"
"Two children born from one","yelido naa''u naatussi darotoo dumma meray de'ees."
"He","mother often have different appearances.%● I oosuwa dumma ogiyan oottiis."
"She started to show deviant behavior after she","eeshshaa bessiyogaa doommaasu."
"He is a prosperous man; he can afford many things","kuttan shammanaw danddayees."
"The cat caught the rat.","eceriya%1. noun%► rat %● Garawiya eceriya oykkaasu."
"The rat squeaked.","Eceree waassiis."
"I scored four points against him while","karttaa kaassan oyddu eceriya mizaas."
"Hurry up! We are late for school.","Tamaaresoossi nuussi sa'ay poo'ees."
"Hurry up or you will miss the bus.","Eesota ixxikko otobisiyappe attaasa."
"He was in rush to finish the assignment. %","oosuwa wurssanaayyoo I eesotiis."
"A back yard is an area behind a house in which some","darkko kattati mokkiyosaa."
"The","vegetables are grown. %● Kayssoti karee dooyettin emere woxxidosona."
"If you are divided, you can't","shaahettikko, geniya eqettanawu danddayeketta."
"We should","stand against the enemy. %● Nuuni Eedisiya eqettanaw koshshees."
"We must defend our rights.","koshshees/eqettanaagee attennabaa."
"It is important to believe in things and take stand.","minttiyogee go''ees."
"Improve your posture. Don't slouch.","Geellatoppa."
"A wise person acknowledges his mistake.","balaa ammanees."
"A competent person has skills and qualifications.","meezeenne eray de'ees."
"A competent","Eranchcha dottoree ta aayee qooriyan de'iya xii'iya kessiis."
"The mill is good for the maize grind.","lo''o."
"Grinding maize was women's work.","ooso."
"Problems","gaacettennan ixxiyo metoy hara sahuwayyoo malaata gidanaw danddayees."
"He grabbed the thief forcibly.","catch%● Kaysuwa gaddabbi oottidi oyqqiis."
"The brave man seized the thief.","Gooba bitanee kaysuwa gaddabi oottiis."
"The father threw the ball and the child","kuwaasiya olin na'ay gaddabbi oottiis."
"Humus is","material by microorganisms%● Gassammay biittaa araddissanaw lo''o."
"The farmer put manure on his farmland in order to","shooqan gassammaa yeggiis."
"Dead plants build up","grow vegetables.%● Hayqqida dozati gassammaa darssoosona."
"Please, do you have pure water to drink?%(syn) [walalla, xillo,","danddee?"
"A church is a holy place.","geeshsha soho."
"The captain ordered his men to defend the enemy.","geniya teqqanaadan kiittiis."
"A vandal set fire to the hut.","%● Genee keettan tamaa yeddiis."
"Some wounds give out pus.%(syn) [xuuqqiis]%2. transitive verb","giiyyees."
"He is conceited.","conceit, be proud, have pride%● I otoruwa giiyees."
"The ministry will distribute the","ooratta maxaafata wontto saaminttan gishees."
"The teacher distributed the books to each of the students.","gishiis."
"The monitor distributed the exam","tamaare naatussi paaciya woraqataa gishshiis."
"She","morkketetti de'enna mala koyido gishshawu, A tana maarotettaa oychchaasu."
"I did not come to school because I","sakkido gishshaw, tamaare keettaa yabeykke."
"Work hard for the sake of","was sick.%► sake%● Ne so asaa gishshaw loytta ootta."
"King Tona's fame spread far and wide","gitatettay Toophphiyan ubbasan erettiis."
"It is the","in Ethiopia.%► respect%● Deriyan sabetiyogaa mala gitatetti baawa."
"A","valorous; audacious%● Gooba tamaaree paaciyan metoy baynnan aadhdhees."
"Some members","eqqettiya yameti gooba polotikaa eranchchaa woranaw malidosona."
"A clever student usually","asttamaariya oyshshaa zaaranaassi kushiya denttiis."
"He jerked her back from in front of the speeding car.","guyekko goochchiis."
"The elephant pulled the logs.%(syn)","Danggarssay qanxxettida mittaa goochchiis."
"Last","example, as a lion makes%● Aadhdhida omarssi, gaammoy bazzuwan gudiis."
"Since there are abdominal parasites in his stomach, the boy","wodiyan gudees."
"Wring the clothes before you hang them on the tree.","kasetada gum""a."
"The","Oosanchchiya ispponjjiya meecca simmada, haattaa xi'issanaassi gum''aasu."
"Squeeze the washed clothes and stretch them","Meecettida maayuwa gum''ada micca."
"My father, who bred a lot of cattle, is a rancher.","mehe goda."
"He bought many cows.","%● I daro miizzaa haariis."
"He was filled with anger because","naaqqido gishshawu, hanqquwan kumi uttiis."
"God's wrath","his boss treated him badly.%● Xoossaa hanqquwa"
"God poured out his wrath on Sodom","soodoomeninne Gamooran ba hanqquwa gussiis."
"AIDS is an incurable disease.","sufferance; pain%● Eedisee xalee baynna hargge."
"Airborne illnesses are infectious.","%● Carkkuwappe oyqqiya harggee laa'ees."
"We hear with our ears.","hayttaa%1. noun%► ear%● Nuuni nu hayttan siyoos."
"She mumbled something into my ear.","issibaa taassi hayttan saasukkaasu."
"The leaves of trees","%● Mittaa hayttay bone carkkoy carkkiyode qoqofettees."
"He looked after the cattle in a good","lo''o maatay diyosaa efiidi heemmiis."
"The woman always shepherds the sheep.","dembban dorssaa heemmawusu."
"The","environment%● Heeraa asay issoy issuwara maaddettidi di'uwa zaaridosona."
"There is no clinic in the vicinity.","people')%● Heeran kilinikee baawa."
"Working in","Injjetiya heeran oottidoogee loytta oottanaadan O minttettiis."
"The dog was panting after it had","Do'ay yedetti simmido kanay hel""iiddi dees."
"People pant","been chased by the wild animal.%● Asay woxxi simmidi hel''ees."
"The student arrived late","after they run.%● Tamaaree sa'aa poo'issidi hel''ees."
"If she comes here, I will go there.%(syn) [yaa, yaara, hefinttan,","hini baana."
"This house is better","gede]%2 pronoun%► that %● Ha keettay hini sooppe lo""o."
"He slowly crouched down.","hokkiis."
"When I stooped to pick up the ring, I found my","wuuqqettida borssaa demmaas."
"Her old dirty shoes did not match her beautiful dress.","issippe bibeenna."
"The unity of people will defeat an enemy in the battle.","xoonnees."
"Unity is important for the development of our","dichchawu issippetettay go''ees."
"I sometimes drink coffee","Taani issitoo issitoo sukkaaree baynna tukkiya uyays."
"Occasionally","without sugar.%● Issitoo issitoo ta tamaare soo otobisiyan bays."
"Sometimes I like to do research in our language.%(syn)","daro dosays."
"I waited for you at the bus station.","naagaas."
"He left his luggage at the bus stand.","aggidi yiis."
"The bus leaves at 12:30 from","qatuwappe tammanne naa''u saate baggan kiyees."
"He dug the soil out with a spade.%(syn)","hands%● Biittaa akaafan kaashiis."
"The","[mooqiis]%► profit; gain%● Zal""anchchay tukkiya bayzzidi woriya kaashiis."
"He despised himself for being so cowardly.","kariis."
"A rude husband neglects his own wife.","machchee addiniitaakka karees."
"It is unwise to ignore someone.%(syn) [xaasayiis]","kariyogee lo''enna."
"He scheduled to meet the girl in the market.%(syn)","gayttanawu keeriis."
"He planned to build the house after two weeks.%(syn) [qaniis]","keeriis."
"My father built a large house.","keettaa keexxiis."
"Friends of mine are building their own house.","keexxidosona."
"The town is situated near the mountain.%(syn) [gimbbiis,","achchan keexxettiis."
"Move away from the bus stop.%(syn) [sher''i giis;  xayiis,","kichchaychcha."
"He died after he took the","hurttu giis]%► die%● I marzziya uyidi kichchiis."
"Pull the chair towards you.","shiishsha."
"The little daughter is shaking from the fever.","na'iya meeguwan kokkorawusu."
"The liar stood in","Worddanchchay yashshan kokkoriiddi gadaawaa sinttan eqqiis."
"The boy stood trembling in front of his father","sinttan kokkoriilddi eqqiis."
"He mended a broken chair.","wombbaraa kooliis."
"The students from the village repaired the","tamaare keettaa koolidosona."
"Bees make honey in a","koottaa%1. noun%► beehive; hive%● Mattay koottan eessees."
"A large bamboo barrel is used for storing","Koottay kattaa qolanawu maaddees."
"Was the grain put in the big basket?","grain.%● Kattay koottan yegettideeyye?"
"Human wants are unlimited.","zawi baawa."
"The teacher must know the","tamaare naatussi diya koshshaa eranawu bessees."
"There is no freedom like peace.","la""atetti baawa."
"You are at liberty to do whatever you want.%","oottanaassi la'atettan de'aasa."
"Malaria spreads in wet and hot places.","laa'ees."
"Dead animals should be buried","mala hayqqida medoossati moogettanawu koshshees."
"Friends are those who like each other.","issuwara dosettiyagaa."
"Some friends of mine are","amaridaageeti tana loytta xana'anaadan maaddoosona."
"as sweet as","laqilaqiis%1. transitive verb%► be sweet%● sukkaarettoo laqilaqees"
"Sugar is sweet.","sugar%● Sukkaaree laqilaqees."
"My father and I are of equal height; neither of us is shorter or","adduqiyay ba."
"Drive the car slowly, please.","laagga, hayyanaa."
"The old man went gradually to the window.","loddaara biis."
"Old men drive cars slowly.%(syn) [loddan, leelan, akeekan]","loddan laaggees."
"a path by the side of a river","effiiya loosuwa"
"There was a nice, quiet path through the park.","giida loosoy de'ees."
"the path on the backyard%(syn) [urudaa, sutaa]","darkkoora aattiya loossuwa"
"There","dom""ettida kaamiya kooliyo maaray mankkay ay hiillanchchawunne ixxiis."
"Children are expected to learn discipline from","yelidaageetuppe naagettees."
"God's mercy","maarotaa%1. noun%► forgiveness; mercy%● Xoossaa maarotay nu bolla"
"One who","upon us%► excuse%● Wogaa eriiddi kanttiya asawu maaroti baawa."
"I have to give you an","gishshawu taani ne balaassi maarotaa immanawu koshshees."
"Your rights cannot be respected without facing","bonchchettanaw danddayettenna."
"Parents have a responsibility to bring their","dichchanawu maatay de'ees."
"Who","maayuwa%1. noun%► clothes; garment%● Lo''iya maayuwa maayida na'iya oonee?"
"Fashionable clothes make girls look beautiful.","puulayees."
"Clothes are made on a sewing machine.%(syn) [carqqiya.]","makiinan sihettees."
"We ate sweet food today.","qumaa miida."
"My mother made very sweet coffee for the guests.","tukkiya essaasu."
"as sweet as his speech%(syn) [luqaaluqo, laqilaqiya.]","haasayaadan mal""o"
"I showed him the way.%(syn) [bessiis, huruuriis,","ogiya malaataas."
"My boss marked that I was absent from the job.","malaatiis."
"The meteorologist predicts that it will","saaminttan iray bukkanaagaa maliis."
"He tried to read after learning the alphabet.","simmidi, nibaabiya maliis."
"The calf is","maraa%1. noun%► calf, young of a cow%● Maray hayqqana hanees."
"Son, would you show me the way to the church?","ogiya bessuuttee?"
"Don't look","Open the window; I feel hot.%● Masttootiyara xeelloppa; pokko."
"Look at the television screen","xeella."
"A mule is a sterile animal that does not give","Baquloy yelenna mayne mehe."
"The barren","birth.%● Mayne maccaasiya shahaarabeenna gishshawu, kayyottaasu."
"The barren cow cannot bear a calf.%(syn)","mara tookkanaw danddayukku."
"Clean","meraa%1. noun%► appearance; color%● Geeshsha maayoy meraa loyttees."
"She resembles her sister not only in appearance, but","eeshshankka malataws."
"A cow gives us milk.","miizziyo%1. noun%► cow%● Miizziya maaxxawus."
"After feeding the","Henttanchchay miizziyo mizi simmidi, yeesaamiya shokkiis."
"Two families are sharing the responsibilities for milk of one cow.%","maaxxawsu."
"He knows completely that she will pass the exam.%(syn)","milxxi oottidi erees."
"She shaved the boy's hair completely.%(syn)","huuphphiya milxxi oottidi meediis."
"When she fastened the bottle, she made it","xaaramusiya tuccaydda minttaasu."
"My parents have always encouraged me in","dooruwan tana ubba wode minttidosona."
"The divorcing parents maintained an amicable","siiqota gaytotettaa minttidosona."
"the","miyyiya%1. noun%► side, parallel path, flank%● keettawu ushachcha miyyiya"
"People in our village","%● Nu heeraa asay darotoo miyyee baynna asaa maaddees."
"If hens are fed well, they lay more eggs.","phuuphulliya phuuphulloosona."
"He got out of jail quickly because he bribed the local authorities.","kiyiis."
"My restless so has ruined my cap.%(syn) [donttiis, woriis,","mogoliichchiis."
"The","suraggiis]%► defraud; steal%● Looxee tana oyddu xeetu biraa mogoliis."
"If rains fall now and then, weeds grow","bukkikko, sharafay eesuwan mokkees."
"Maize does not grow in cold","quickly.%● Badalay irxxa sohuwan mokkenna."
"The sun rises in the east.","climates.%► rise%● Away arggoora mokkees."
"The students made many errors on their exam.","mooruwa oottidosona."
"I was punished but it was his fault.%","maqqaccettaas shin hegee A mooruwana."
"Stealing is","immorality; debauchery; evil; turpitude; sin%● Wuuqqiyogee nagara."
"It is a sin to commit robbery.","a sin. %● Asabaa bogiyogee nagara."
"He believes that he will be judged","nagarawu pirddettanawu diyogaa ammanees."
"The","ohettiis%1. transitive verb%► be caught; be arrested%● Kaysoy ohettiis."
"My","thief was arrested.%► abut; adjoin%● Ta keettay I keettaara ohetti uttiis."
"Her land abuts","house abuts up to her house.%● I biittay taagaara ohettiis."
"There is conflict","Oosanchchatuuranne qaxaridaageetuura ooshshay de'ees."
"a fracas","between the workers and the employers.%● azinanne machchine ooshshaa"
"We had a quarrel","between couples%● Nuuni miishshaa gaasuwan ooshshaa kessida."
"The teacher evaluated the students.%(syn) [pilggiis, yiggiis.]","naata paacciis."
"Something is","%► tempt%● Issibay taayyoo Xoossaa ammanuwa paacciiddi dees."
"This test was very easy;","ubbaykka tammaappe tammaa demmidosona giyogaa mala."
"Had he studied hard, he would have passed the","paaciyan aadhdhana shin attiis."
"I couldn't resist the temptation to open the letter.","danddayabeykke."
"A","vandal; gang; thief%● Panggay asa miishshaa woykko buquraa boggi ekkiyagaa."
"Jesus Christ was hung between the two","panggatuppe gidduwan kaqqettiis."
"The bombs were","thieves.%● Bombbee panggatu bolli yaara haara xuuqqees."
"She sewed the hole in her dress.%","%● A ba qamisiyan de'iya peerettaa sikkaasu."
"His pride is not our business.","aybane gidenna."
"Since the room hadn't been","pitettibeenna gishshawu, keettay moorettiis."
"She stripped the room of all its","keettan diya miishshaa muleera pittaasu."
"He took medicine","puuraa%1. noun%► swelling%● I xaliya ekkin, puuray wodhdhiis."
"His disappointment with me is due to a","tanaara diya puuray miishsha gaaso."
"Because I didn't have my","maallado qan''iya mabeenna gishshawu,tana namisiis."
"Quickly make breakfast, or I will be late for","tamaaresoo baanawu poo'ees."
"We eat breakfast early.%(syn) [bikkaa,","school.%● Nu qan''iya guuran moos."
"I made an appointment to","appointment%● Taani aara wontto gayttanawu qanaas."
"The exam was already","book%● Paacee wontto saaminttan imettanawu qanettiis."
"a bundle of grass%(syn) [xephiya.]","qashuwa%1. noun%► bundle%● qasho maataa"
"He was released from","prison; imprisonment%● I qashuwappe birshshettiis."
"The farmer fed his ox well.%(syn) [heemiis.]","qoraphphiis."
"We","economize%● Sintta wodiyan go'ettanawu nu miishshaa qoraphphiyogee keha."
"Ten ten-cent coins is one birr.","bira."
"He deposited a lot of money.%(syn) [miishshaa, gumaa.]","wottiis."
"Peace to you.","gido."
"The","saxxiis%1. transitive verb%► bite; nibble%● Qeeri na'iya oyttaa saxxaasu."
"She was bitten by","little girl nibbled a piece of bread.%● A kanan saxxettaasu."
"If a","the dog.%● Gooyyiya kanay saxxikko, sohuwara xaliya ekkanawu koshshees."
"He put","shoohuwa%1. noun%► sheath; scabbard; shell%● I bisaa shoohuwan yeggiis."
"The foreskin covers the end of the penis.","Shoohoy shemppuwa xeeraa genttees."
"She served very soft bananas; we","muuziya aattaasu; nu maanawu danddayibookko."
"He is a","feeble%● Ha na'ay timrttiyawu shugo; paaciyan aadhdhanawu danddayenna."
"This house is mine.","keettay taagaa."
"Is this book yours or mine?%(syn)","are mine.%● Hagee maxaafay neegeeyye taagee?"
"Ethiopian","taarikiya%1. noun%► history, past events%● Toophiya Taarikiya"
"oral history","History%● odido taarikiya"
"I have never read such a story in my lifetime.","taarike nabbababeykke."
"He died by fire accident.","tamaa%1. noun%► fire%● I tama daafan hayqqiis."
"to extinguish fire","tamaa toyssanawu"
"She tightened the firewood","tighten%● A eettiyo mittaa sussan qashuwa tilaasu."
"He","'enset' cord.%► slap strongly%● I na'ay wayssido gishshawu baqaa tiliis."
"The meeting ended without an agreement.%(syn) [wurssiis, wocociis.]","timettiis."
"The teacher's association included the","asttamaareta bantta yaran timidosona."
"Liver is eaten like meat.","tiriya%1. noun%► liver%● Tiree ashodan meetettees."
"The woman put a copper ring on her finger.","wottaasu."
"The copper ring fits the woman.","maccaaseera giigees."
"A liar","tumaa%1. noun%► truth; fact; reality%● Worddanchchay tumaa haasayenna."
"Speaking truth","does not speak truth.%● Tumaa haasayiyogee bonchchissees."
"Telling the truth is wise.%(syn)","brings honor.%● Tumaa haasayiyogee eratetta."
"The abdomen is the part of the","hara bolla kifileta xaaxi waaxiya bolla kifile."
"Mothers carry their offspring in their womb","yiirata bantta uluwan tookkoosona."
"People who do not work hard live only for their","maana ulo xalaaleessi doosona."
"This bar lady often prostitutes herself.%(syn) [shaaramuxiis,","waallatawusu."
"She was","disrespectful%● A ba asttamaariya sinttan waallattada haasayaasu."
"Yoke the oxen.","waaxiis%1. transitive verb%► yoke, set a trap%● Boorata waaxa."
"He made a drum.","%► make%● Karaabiya waaxiis."
"The carpenter made a new chair.","waaxiis."
"The exam was","completely%● Paacee keehi wayssiis. Daro tamaareti kunddidosona."
"Don't disturb me now. I am studying.%(syn) [shabbiriis,","Ta xana'aydadda days."
"Most students haven't passed the examination; I think it was too","aggenna."
"the","wogetaa%1. noun%► civilization%● beni wode Griike Asaa wogetaa"
"He had a large","enormous%● Assi cora kifileti de'iyo wogga keettay de'ees."
"I","capital (letter)%► main%● Taani isttaadoomiya wogga penggiyara gelaas."
"The unfortunate beggar met with an accident while","pinniiddi daafan geliis."
"The beggar wore rags.","crossing the road.%● Woosanchchay curqqaa maayiis."
"The beggar stood","Woosanchchay away xuuggin, mittaa kuwan uttidi shemppees."
"I study in the morning before lunch.","maallado xanna'ays."
"I studied harder than","aaro xanna'ido gishshawu paaciyan sintta xeera kiyaas."
"He studied for the examination.%(syn) [pilggiis.]","xanna'iis."
"a table and chairs","xaraphpheezaa%1. noun%► table%● xaraphpheezaanne wombbarata"
"Put all the books on the table.","%● Maxaafata ubbaakka xaraphpheezan wotta."
"Please put the plates on the","Hayyanaa sayniya xaraphpheezaa bolla wotta."
"The man wiped the mud off his shoes.","tohuwappe caammaa urqqaa xiiriis."
"The cobbler scraped the mud","Caammaa qucciyagee ta caammaappe urqqaa xiiriis."
"He","off my shoes.%► gain; profit%● Hidaariyan tukkiya zal''idi woriya xiiriis."
"clean water%(syn)","xillo%1. adjective%► clean; neat; pure%● xillo haattaa"
"Your father is a just man; everybody admires him.%(syn) [likke,","nashshees."
"When you are exhausted, you need a little sleep.","xiskkoy koshshees."
"What shall I do to keep from sleeping?","Xiskkuwappe attanawu waanooshsha?"
"After a hard day's work, I","Oosuwa nohayaydda pee'ada xiskkuwa gophphattaas."
"People","qammi karen aybakko giiridabaa heeraa asay kare kiyidi xomoosidosona."
"Many foreigners visited our museum","nu muuzeemiya zino xomoosidosona."
"The enemy's army was","prevail%● Morkkiya tooranchchati xoonettidosona."
"In the final","defeated.%● Wurssetta kaassan, Kaameeruuni Gibixxe xooni aggiis."
"The old man's opinion prevailed after a long dispute.%(syn)","simmin xooniis."
"narrow road","xuntta%1. adjective%► narrow; tight; thin; shrunken%● xuntta ogiya"
"This pair of shoes is too tight for me.","%● Ha caammay taassi keehi xuntta."
"A shrunken dress cannot easily be worn.%","Xuntta qamisee maayanawu wayssees."
"Ants travel in a","yafaraa%1. noun%► furrow; row%● Qaacoy yafaran hemettees."
"He drew a straight line on a","row.%► line%● I woraqatan sitta yafaraa xaafiis."
"She made a","piece of paper.%● Woraqataa bolla sitta yafaraa medhdhaasu."
"We should never fear each other","yayyennan qoncciyan haasayanawu koshshees."
"What makes you","during our discussion.%● La nena asa sinttan aybee yashshiyay?"
"My","quake in front of others?%● Ta kaalo michchiya barkka de'iyogaa yayyawusu."
"Don't trample on the flowers!","yedhdhoppa!"
"If a young crop is stamped on, it gets harmed.","qohettees."
"She stepped on my foot and said, ''sorry.''%","yedhdhada taassa, ''yaagaasu.''"
"The girl cried when she heard that her mother was ill.","siyada yeekkaasu."
"The girl wept when her","aayyiya I bolla iita qaalaa go'ettin na'iya yeekkaasu."
"She","yelagiis%1. intransitive verb%► be young%● A azinaa gelanaw keehi yelaga."
"Don't be foolish; you are a man.%(syn) [na'atiis,","Yelagoppa; neeni gita asa."
"In Wolaita culture, a lady is taken to her","bantta soo biyogee Wolaytta woga."
"Often women stop giving birth after they are","guyiyan maccassay yeluwa essees."
"It is","forty-five years old.%► child%● Cora yeluwa dichchanaagee wayssees."
"Let's compare","oyssaappenne taagaappe awugee dariyakko yiggi xeellidi be'oos."
"The judge has not evaluated the","Daannay markkaa qaalaa yiggi xeellibeenna."
"Something","fluster%● Hachchi tana aybakko yiilloyiis. Tanaara haasayoppa."
"Her","angered me today. Don't talk to me.%● I oyshay tana keehi yiilloyiis."
